SLNo,BillNo,Date,Time,Item,Model,Rate,Quantity,Total,Company,Type
1,1,17-6-2018,05:36 PM,1,1,1.0,1.0,1.0,,Sold
2,1,17-6-2018,05:36 PM,NA,NA,NA,NA,1.0,,Collected
3,2,30-7-2018,10:28 AM,1,1,1.0,3.0,2.4,,Sold
4,2,30-7-2018,10:28 AM,NA,NA,NA,NA,2.0,,Collected
5,3,30-7-2018,10:40 AM,1,1,1.0,20.0,14.0,,Sold
6,3,30-7-2018,10:40 AM,NA,NA,NA,NA,3.0,,Collected
7,4,1-8-2018,06:24 PM,1,1,1.0,1.0,1.0,,Sold
8,4,1-8-2018,06:24 PM,1,1,1.0,1.0,1.0,,Sold
9,4,1-8-2018,06:24 PM,NA,NA,NA,NA,2.0,,Collected
10,5,1-8-2018,06:29 PM,1,1,1.0,1.0,1.0,,Sold
11,5,1-8-2018,06:29 PM,1,1,1.0,1.0,1.0,,Sold
12,5,1-8-2018,06:29 PM,1,1,1.0,1.0,1.0,,Sold
13,5,1-8-2018,06:29 PM,1,1,1.0,1.0,1.0,,Sold
14,5,1-8-2018,06:29 PM,NA,NA,NA,NA,4.0,,Collected
15,6,1-8-2018,06:30 PM,1,1,1.0,1.0,1.0,,Sold
16,6,1-8-2018,06:30 PM,1,1,1.0,1.0,1.0,,Sold
17,6,1-8-2018,06:30 PM,1,1,1.0,0.0,0.0,,Sold
18,6,1-8-2018,06:30 PM,NA,NA,NA,NA,2.0,,Collected
19,7,1-8-2018,06:33 PM,1,1,1.0,1.0,1.0,,Sold
20,7,1-8-2018,06:33 PM,1,1,1.0,0.0,0.0,,Sold
21,7,1-8-2018,06:33 PM,1,1,1.0,0.0,0.0,,Sold
22,7,1-8-2018,06:33 PM,1,1,1.0,0.0,0.0,,Sold
23,7,1-8-2018,06:33 PM,1,1,1.0,0.0,0.0,,Sold
24,7,1-8-2018,06:33 PM,1,1,1.0,0.0,0.0,,Sold
25,7,1-8-2018,06:33 PM,1,1,1.0,0.0,0.0,,Sold
26,7,1-8-2018,06:33 PM,1,1,1.0,0.0,0.0,,Sold
27,7,1-8-2018,06:33 PM,1,1,1.0,0.0,0.0,,Sold
28,7,1-8-2018,06:33 PM,1,1,1.0,0.0,0.0,,Sold
29,7,1-8-2018,06:33 PM,NA,NA,NA,NA,1.0,,Collected
